,team_short_display_name,team_uid,team_alternate_color,team_color,team_display_name,team_name,team_logo,team_location,team_id,team_abbreviation,team_slug,field_goals_made_field_goals_attempted,field_goal_pct,three_point_field_goals_made_three_point_field_goals_attempted,three_point_field_goal_pct,free_throws_made_free_throws_attempted,free_throw_pct,total_rebounds,offensive_rebounds,defensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,team_turnovers,total_turnovers,technical_fouls,total_technical_fouls,flagrant_fouls,fouls,largest_lead,home_away,opponent_id,opponent_name,opponent_mascot,opponent_abbrev,game_id,season,season_type,game_date
52,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,28-58,48.3,9-24,37.5,9-13,69.2,30,10,20,0,14,6,2,8,0,8,0,0,0,14,13.0,HOME,213,Penn State,Nittany Lions,PSU,401364369,2022,2,2022-01-08
58,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,25-56,44.6,5-20,25.0,15-18,83.3,29,5,24,0,11,4,5,8,1,8,0,0,0,19,21.0,HOME,120,Maryland,Terrapins,MD,401364372,2022,2,2022-01-10
71,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,27-58,46.6,10-23,43.5,14-20,70.0,33,7,26,0,16,6,0,9,0,9,0,0,0,14,17.0,AWAY,194,Ohio State,Buckeyes,OSU,401364379,2022,2,2022-01-14
72,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,22-60,36.7,1-10,10.0,8-14,57.1,32,15,17,0,5,7,1,12,1,12,0,0,0,20,0.0,HOME,356,Illinois,Fighting Illini,ILL,401364380,2022,2,2022-01-15
75,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,32-65,49.2,9-29,31.0,19-27,70.4,41,14,27,0,19,7,5,10,0,10,0,0,0,16,30.0,AWAY,158,Nebraska,Cornhuskers,NEB,401364381,2022,2,2022-01-14
86,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,31-68,45.6,8-18,44.4,26-32,81.3,46,10,36,0,13,3,3,12,0,12,1,1,0,15,13.0,HOME,356,Illinois,Fighting Illini,ILL,401364387,2022,2,2022-01-17
89,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,35-60,58.3,8-20,40.0,5-5,100.0,32,9,23,0,19,5,3,8,0,8,1,1,0,16,25.0,AWAY,120,Maryland,Terrapins,MD,401364388,2022,2,2022-01-19
90,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,28-54,51.9,9-17,52.9,17-26,65.4,36,7,29,0,17,4,2,11,0,11,0,0,0,13,10.0,HOME,77,Northwestern,Wildcats,NU,401364389,2022,2,2022-01-19
94,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,25-54,46.3,8-23,34.8,7-17,41.2,39,8,31,0,12,0,2,12,0,12,0,0,0,18,8.0,HOME,84,Indiana,Hoosiers,IU,401364392,2022,2,2022-01-21
99,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,26-61,42.6,12-29,41.4,10-11,90.9,20,7,13,0,15,5,1,10,0,10,1,1,0,18,8.0,AWAY,127,Michigan State,Spartans,MSU,401364394,2022,2,2022-01-22
104,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,29-51,56.9,11-17,64.7,11-14,78.6,36,6,30,0,18,4,3,14,1,14,1,1,0,16,18.0,HOME,84,Indiana,Hoosiers,IU,401364398,2022,2,2022-01-23
107,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,29-56,51.8,12-29,41.4,10-13,76.9,33,10,23,0,19,5,0,9,0,9,0,0,0,13,20.0,AWAY,77,Northwestern,Wildcats,NU,401364399,2022,2,2022-01-23
112,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,25-68,36.8,10-22,45.5,13-18,72.2,47,13,34,0,12,7,2,10,0,10,0,0,0,18,18.0,HOME,158,Nebraska,Cornhuskers,NEB,401364402,2022,2,2022-01-27
115,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,23-41,56.1,8-12,66.7,18-26,69.2,25,1,24,0,11,2,0,13,1,13,0,0,0,24,11.0,AWAY,77,Northwestern,Wildcats,NU,401364403,2022,2,2022-01-26
120,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,30-49,61.2,13-22,59.1,10-22,45.5,36,9,27,0,21,7,2,15,2,15,0,0,0,17,18.0,HOME,2294,Iowa,Hawkeyes,IOWA,401364406,2022,2,2022-01-28
126,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,23-62,37.1,3-19,15.8,18-25,72.0,36,16,20,0,11,7,5,13,0,13,0,0,0,16,6.0,HOME,127,Michigan State,Spartans,MSU,401364409,2022,2,2022-01-29
131,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,24-57,42.1,6-19,31.6,12-15,80.0,32,7,25,0,8,3,0,7,0,7,0,0,0,15,10.0,AWAY,135,Minnesota,Golden Gophers,MINN,401364411,2022,2,2022-01-30
133,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,29-60,48.3,8-17,47.1,15-26,57.7,38,15,23,0,17,4,4,10,0,10,0,0,0,12,20.0,AWAY,194,Ohio State,Buckeyes,OSU,401364412,2022,2,2022-01-30
139,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,28-60,46.7,2-15,13.3,27-33,81.8,39,12,27,0,14,5,2,11,0,11,0,0,0,17,10.0,AWAY,158,Nebraska,Cornhuskers,NEB,401364415,2022,2,2022-02-02
142,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,35-63,55.6,12-24,50.0,6-8,75.0,39,9,30,0,23,2,5,9,2,9,0,0,0,15,18.0,HOME,135,Minnesota,Golden Gophers,MINN,401364417,2022,2,2022-02-03
144,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,26-68,38.2,3-24,12.5,12-15,80.0,38,12,26,0,8,3,0,6,0,6,0,0,0,19,5.0,HOME,356,Illinois,Fighting Illini,ILL,401364418,2022,2,2022-02-03
148,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,29-52,55.8,8-18,44.4,10-12,83.3,22,3,19,0,17,3,3,11,0,11,0,0,0,17,0.0,HOME,2509,Purdue,Boilermakers,PUR,401364421,2022,2,2022-02-05
149,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,30-58,51.7,5-18,27.8,17-21,81.0,32,11,21,0,17,7,3,7,1,7,0,0,0,10,12.0,AWAY,130,Michigan,Wolverines,MICH,401364421,2022,2,2022-02-05
155,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,21-56,37.5,6-21,28.6,3-6,50.0,37,6,31,0,10,3,4,8,0,8,0,0,0,13,14.0,AWAY,213,Penn State,Nittany Lions,PSU,401364424,2022,2,2022-02-05
162,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,17-54,31.5,5-21,23.8,19-22,86.4,39,14,25,0,12,1,4,7,0,7,0,0,0,11,6.0,HOME,213,Penn State,Nittany Lions,PSU,401364428,2022,2,2022-02-09
164,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,25-53,47.2,6-18,33.3,14-22,63.6,32,6,26,0,12,6,3,7,0,7,0,0,0,17,10.0,HOME,127,Michigan State,Spartans,MSU,401364429,2022,2,2022-02-09
171,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,31-61,50.8,9-22,40.9,13-18,72.2,35,11,24,0,16,5,5,9,0,9,0,0,0,16,19.0,AWAY,356,Illinois,Fighting Illini,ILL,401364432,2022,2,2022-02-09
177,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,24-58,41.4,4-17,23.5,5-6,83.3,32,10,22,0,16,3,2,11,0,11,1,1,0,19,4.0,AWAY,194,Ohio State,Buckeyes,OSU,401364435,2022,2,2022-02-12
181,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,26-55,47.3,4-19,21.1,9-17,52.9,28,8,20,0,13,8,0,11,0,11,0,0,0,18,3.0,AWAY,164,Rutgers,Scarlet Knights,RUTG,401364437,2022,2,2022-02-12
183,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,23-52,44.2,8-20,40.0,8-12,66.7,33,7,26,0,14,7,4,16,1,16,0,0,0,15,4.0,AWAY,120,Maryland,Terrapins,MD,401364438,2022,2,2022-02-13
192,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,24-52,46.2,4-16,25.0,22-29,75.9,36,7,29,0,8,4,2,13,0,13,0,0,0,16,5.0,HOME,84,Indiana,Hoosiers,IU,401364443,2022,2,2022-02-16
196,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,24-53,45.3,8-21,38.1,14-21,66.7,39,7,32,0,18,3,3,14,0,14,0,0,0,16,15.0,HOME,77,Northwestern,Wildcats,NU,401364445,2022,2,2022-02-17
198,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,31-62,50.0,4-20,20.0,18-23,78.3,40,10,30,0,21,7,4,11,0,11,2,2,0,17,12.0,HOME,2294,Iowa,Hawkeyes,IOWA,401364446,2022,2,2022-02-18
208,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,25-64,39.1,4-25,16.0,9-13,69.2,38,13,25,0,11,5,2,12,1,12,0,0,0,19,5.0,HOME,275,Wisconsin,Badgers,WISC,401364451,2022,2,2022-02-20
209,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,29-58,50.0,4-13,30.8,15-16,93.8,28,4,24,0,7,7,5,8,0,8,0,0,0,16,19.0,AWAY,130,Michigan,Wolverines,MICH,401364451,2022,2,2022-02-20
211,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,26-49,53.1,8-22,36.4,24-29,82.8,27,7,20,0,19,2,2,7,0,7,1,1,0,16,20.0,AWAY,164,Rutgers,Scarlet Knights,RUTG,401364452,2022,2,2022-02-20
219,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,27-58,46.6,7-22,31.8,10-10,100.0,36,7,29,0,10,2,6,12,0,12,0,0,0,8,14.0,AWAY,164,Rutgers,Scarlet Knights,RUTG,401364456,2022,2,2022-02-24
220,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,24-47,51.1,5-14,35.7,15-22,68.2,38,10,28,0,15,2,2,12,0,12,0,0,0,18,8.0,HOME,135,Minnesota,Golden Gophers,MINN,401364457,2022,2,2022-02-24
230,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,25-48,52.1,1-9,11.1,14-19,73.7,34,7,27,0,12,3,4,17,1,17,0,0,0,15,1.0,HOME,127,Michigan State,Spartans,MSU,401364462,2022,2,2022-02-26
232,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,23-54,42.6,9-20,45.0,11-17,64.7,30,6,24,0,9,8,1,9,0,9,0,0,0,17,11.0,HOME,164,Rutgers,Scarlet Knights,RUTG,401364463,2022,2,2022-02-26
235,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,29-57,50.9,5-15,33.3,22-25,88.0,26,6,20,0,12,6,2,11,0,11,0,0,0,19,0.0,AWAY,356,Illinois,Fighting Illini,ILL,401364464,2022,2,2022-02-27
244,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,24-56,42.9,8-21,38.1,11-20,55.0,39,11,28,0,10,4,1,10,0,10,0,0,0,16,7.0,HOME,275,Wisconsin,Badgers,WISC,401364469,2022,2,2022-03-02
245,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,26-61,42.6,7-22,31.8,11-12,91.7,33,7,26,0,9,6,4,6,0,6,0,0,0,17,11.0,AWAY,2509,Purdue,Boilermakers,PUR,401364469,2022,2,2022-03-02
395,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,28-65,43.1,5-17,29.4,22-26,84.6,49,13,36,0,12,8,4,11,0,11,0,0,0,13,27.0,AWAY,142,Missouri,Tigers,MIZ,401364839,2022,2,2021-12-30
396,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,22-63,34.9,7-29,24.1,17-20,85.0,35,10,25,0,10,10,2,11,0,11,0,0,0,19,10.0,HOME,333,Alabama,Crimson Tide,ALA,401364841,2022,2,2021-12-30
399,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,23-53,43.4,7-23,30.4,17-26,65.4,43,11,32,0,11,10,14,21,0,21,0,0,0,20,17.0,AWAY,99,LSU,Tigers,LSU,401364842,2022,2,2021-12-30
402,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,21-58,36.2,8-24,33.3,10-20,50.0,39,11,28,0,11,8,6,15,0,15,0,0,0,15,9.0,HOME,99,LSU,Tigers,LSU,401364844,2022,2,2022-01-05
404,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,29-55,52.7,6-13,46.2,17-23,73.9,34,9,25,0,13,9,6,17,0,17,0,0,0,15,21.0,HOME,2579,South Carolina,Gamecocks,SC,401364845,2022,2,2022-01-04
413,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,25-64,39.1,10-34,29.4,6-8,75.0,34,11,23,0,21,17,1,19,1,19,0,0,0,13,6.0,AWAY,145,Ole Miss,Rebels,MISS,401364849,2022,2,2022-01-06
419,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,40-70,57.1,6-15,40.0,6-7,85.7,31,8,23,0,23,6,3,7,0,7,0,0,0,16,22.0,AWAY,61,Georgia,Bulldogs,UGA,401364853,2022,2,2022-01-08
423,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,30-56,53.6,8-18,44.4,17-22,77.3,39,9,30,0,15,9,9,16,1,16,0,0,0,21,13.0,AWAY,57,Florida,Gators,FLA,401364855,2022,2,2022-01-09
424,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,19-49,38.8,6-24,25.0,23-37,62.2,33,10,23,0,10,8,5,15,1,15,0,0,0,18,6.0,HOME,99,LSU,Tigers,LSU,401364856,2022,2,2022-01-08
429,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,24-55,43.6,7-21,33.3,11-25,44.0,40,12,28,0,15,11,4,15,2,15,0,0,0,18,22.0,AWAY,2579,South Carolina,Gamecocks,SC,401364858,2022,2,2022-01-11
430,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,31-59,52.5,6-12,50.0,10-16,62.5,42,12,30,0,15,3,2,9,1,9,0,0,0,14,28.0,HOME,238,Vanderbilt,Commodores,VAN,401364859,2022,2,2022-01-12
434,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,30-67,44.8,7-26,26.9,14-22,63.6,44,10,34,0,11,9,11,13,1,13,0,0,0,24,14.0,HOME,333,Alabama,Crimson Tide,ALA,401364861,2022,2,2022-01-12
448,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,29-58,50.0,8-25,32.0,14-16,87.5,27,7,20,0,18,10,9,6,0,6,0,0,0,15,11.0,HOME,145,Ole Miss,Rebels,MISS,401364868,2022,2,2022-01-16
454,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,31-58,53.4,11-23,47.8,6-11,54.5,24,10,14,0,17,5,3,20,0,20,0,0,0,17,2.0,HOME,96,Kentucky,Wildcats,UK,401364871,2022,2,2022-01-15
455,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,38-56,67.9,11-18,61.1,20-21,95.2,25,5,20,0,19,10,3,12,0,12,0,0,0,14,32.0,AWAY,2633,Tennessee,Volunteers,TENN,401364871,2022,2,2022-01-15
460,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,19-56,33.9,5-23,21.7,25-29,86.2,40,14,26,0,9,14,6,14,0,14,2,2,0,23,8.0,HOME,238,Vanderbilt,Commodores,VAN,401364874,2022,2,2022-01-19
