,team_short_display_name,team_uid,team_alternate_color,team_color,team_display_name,team_name,team_logo,team_location,team_id,team_abbreviation,team_slug,field_goals_made_field_goals_attempted,field_goal_pct,three_point_field_goals_made_three_point_field_goals_attempted,three_point_field_goal_pct,free_throws_made_free_throws_attempted,free_throw_pct,total_rebounds,offensive_rebounds,defensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,team_turnovers,total_turnovers,technical_fouls,total_technical_fouls,flagrant_fouls,fouls,largest_lead,home_away,opponent_id,opponent_name,opponent_mascot,opponent_abbrev,game_id,season,season_type,game_date
1,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,21-50,42.0,8-19,42.1,27-37,73.0,42,8,34,0,14,5,2,17,2,17,0,0,0,18,19.0,AWAY,2294,Iowa,Hawkeyes,IOWA,401364342,2022,2,2021-12-04
12,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,39-76,51.3,15-32,46.9,9-12,75.0,54,15,39,0,25,7,2,12,0,12,0,0,0,18,35.0,HOME,158,Nebraska,Cornhuskers,NEB,401364348,2022,2,2021-12-08
15,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,22-62,35.5,5-23,21.7,15-18,83.3,41,11,30,0,12,4,6,4,0,4,0,0,0,15,5.0,AWAY,84,Indiana,Hoosiers,IU,401364349,2022,2,2021-12-09
18,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,25-61,41.0,7-26,26.9,11-16,68.8,35,16,19,0,10,8,2,11,0,11,0,0,0,17,10.0,HOME,164,Rutgers,Scarlet Knights,RUTG,401364351,2022,2,2021-12-10
21,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,26-55,47.3,3-18,16.7,10-16,62.5,34,7,27,0,12,0,3,8,0,8,0,0,0,17,6.0,AWAY,135,Minnesota,Golden Gophers,MINN,401364352,2022,2,2021-12-11
24,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,22-65,33.8,6-26,23.1,5-9,55.6,28,5,23,0,7,7,5,8,0,8,0,0,0,19,8.0,HOME,194,Ohio State,Buckeyes,OSU,401364354,2022,2,2021-12-11
36,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,27-60,45.0,6-24,25.0,14-19,73.7,34,9,25,0,13,5,2,7,0,7,0,0,0,22,7.0,HOME,2509,Purdue,Boilermakers,PUR,401364360,2022,2,2022-01-04
37,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,23-56,41.1,8-20,40.0,15-24,62.5,40,13,27,0,19,2,0,12,0,12,0,0,0,17,7.0,AWAY,275,Wisconsin,Badgers,WISC,401364360,2022,2,2022-01-04
38,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,27-59,45.8,3-15,20.0,10-13,76.9,32,6,26,0,16,5,1,8,0,8,0,0,0,15,0.0,HOME,164,Rutgers,Scarlet Knights,RUTG,401364361,2022,2,2022-01-05
45,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,33-66,50.0,5-17,29.4,16-23,69.6,43,15,28,0,15,6,1,8,1,8,0,0,0,20,23.0,AWAY,2294,Iowa,Hawkeyes,IOWA,401364364,2022,2,2022-01-07
