,team_short_display_name,team_uid,team_alternate_color,team_color,team_display_name,team_name,team_logo,team_location,team_id,team_abbreviation,team_slug,field_goals_made_field_goals_attempted,field_goal_pct,three_point_field_goals_made_three_point_field_goals_attempted,three_point_field_goal_pct,free_throws_made_free_throws_attempted,free_throw_pct,total_rebounds,offensive_rebounds,defensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,team_turnovers,total_turnovers,technical_fouls,total_technical_fouls,flagrant_fouls,fouls,largest_lead,home_away,opponent_id,opponent_name,opponent_mascot,opponent_abbrev,game_id,season,season_type,game_date
1130,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,29-57,50.9,6-20,30.0,7-11,63.6,34,10,24,0,11,9,8,9,0,9,0,0,0,21,16.0,HOME,97,Louisville,Cardinals,LOU,401082917,2019,2,2018-12-29
1159,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,22-44,50.0,4-16,25.0,8-14,57.1,38,12,26,0,10,5,5,15,1,15,0,0,0,14,11.0,AWAY,238,Vanderbilt,Commodores,VAN,401082931,2019,2,2019-01-13
1164,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,27-58,46.6,5-20,25.0,29-32,90.6,30,5,25,0,16,5,7,8,0,8,1,1,0,20,13.0,HOME,238,Vanderbilt,Commodores,VAN,401082934,2019,2,2019-01-24
1168,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,30-54,55.6,10-17,58.8,17-23,73.9,29,6,23,0,18,7,6,7,1,7,0,0,0,20,38.0,HOME,238,Vanderbilt,Commodores,VAN,401082936,2019,2,2019-01-30
1178,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,17-49,34.7,9-25,36.0,21-29,72.4,27,8,19,0,9,10,4,7,0,7,0,0,0,18,11.0,HOME,238,Vanderbilt,Commodores,VAN,401082941,2019,2,2019-02-16
1181,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,23-56,41.1,6-21,28.6,6-9,66.7,40,9,31,0,13,6,4,11,0,11,0,0,0,11,14.0,AWAY,238,Vanderbilt,Commodores,VAN,401082942,2019,2,2019-02-20
1210,Kentucky,s:40~l:41~t:96,ffffff,005DAA,Kentucky Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,Kentucky,96,UK,kentucky-wildcats,28-65,43.1,5-18,27.8,14-17,82.4,32,6,26,0,14,7,1,11,0,11,0,0,0,15,5.0,HOME,333,Alabama,Crimson Tide,ALA,401082957,2019,2,2019-01-05
1219,Tennessee,s:40~l:41~t:2633,ffffff,EE9627,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,Tennessee,2633,TENN,tennessee-volunteers,28-64,43.8,3-12,25.0,12-16,75.0,36,11,25,0,16,6,7,9,0,9,0,0,0,18,15.0,AWAY,333,Alabama,Crimson Tide,ALA,401082961,2019,2,2019-01-19
1223,Baylor,s:40~l:41~t:239,ffb81c,004834,Baylor Bears,Bears,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,Baylor,239,BAY,baylor-bears,30-67,44.8,6-22,27.3,7-10,70.0,35,16,19,0,14,6,5,8,0,8,0,0,0,11,8.0,AWAY,333,Alabama,Crimson Tide,ALA,401082963,2019,2,2019-01-26
1227,Auburn,s:40~l:41~t:2,f1f2f3,03244d,Auburn Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,Auburn,2,AUB,auburn-tigers,30-58,51.7,13-22,59.1,11-14,78.6,31,8,23,0,15,13,3,13,1,13,0,0,0,18,26.0,AWAY,333,Alabama,Crimson Tide,ALA,401082965,2019,2,2019-02-03
