,team_short_display_name,team_uid,team_alternate_color,team_color,team_display_name,team_name,team_logo,team_location,team_id,team_abbreviation,team_slug,field_goals_made_field_goals_attempted,field_goal_pct,three_point_field_goals_made_three_point_field_goals_attempted,three_point_field_goal_pct,free_throws_made_free_throws_attempted,free_throw_pct,total_rebounds,offensive_rebounds,defensive_rebounds,team_rebounds,assists,steals,blocks,turnovers,team_turnovers,total_turnovers,technical_fouls,total_technical_fouls,flagrant_fouls,fouls,largest_lead,home_away,opponent_id,opponent_name,opponent_mascot,opponent_abbrev,game_id,season,season_type,game_date
1,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,29-61,47.5,9-25,36.0,12-19,63.2,34,11,23,0,15,8,6,17,0,17,0,0,0,18,30.0,AWAY,2026,Appalachian State,Mountaineers,APP,401166015,2020,2,2019-11-06
17,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,31-61,50.8,6-19,31.6,11-17,64.7,38,10,28,0,16,8,9,11,1,11,0,0,0,14,24.0,AWAY,2739,Green Bay,Phoenix,GB,401166023,2020,2,2019-11-07
23,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,21-55,38.2,3-18,16.7,20-24,83.3,42,12,30,0,7,6,12,11,0,11,0,0,0,13,18.0,AWAY,2197,Eastern Illinois,Panthers,EIU,401166026,2020,2,2019-11-09
31,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,25-61,41.0,8-16,50.0,8-12,66.7,36,17,19,0,12,8,2,14,1,14,0,0,0,19,6.0,AWAY,251,Texas,Longhorns,TEX,401166030,2020,2,2019-11-10
47,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,30-53,56.6,9-23,39.1,10-12,83.3,27,4,23,0,16,3,6,11,0,11,0,0,0,7,12.0,AWAY,156,Creighton,Bluejays,CREI,401166058,2020,2,2019-11-12
52,Villanova,s:40~l:41~t:222,f0f0f0,123d7C,Villanova Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,Villanova,222,VILL,villanova-wildcats,19-62,30.6,10-30,33.3,3-7,42.9,35,13,22,0,10,0,4,12,0,12,0,0,0,16,0.0,HOME,194,Ohio State,Buckeyes,OSU,401166061,2020,2,2019-11-14
54,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,20-59,33.9,6-24,25.0,9-21,42.9,41,16,25,0,14,4,4,10,1,10,0,0,0,22,18.0,HOME,269,Marquette,Golden Eagles,MARQ,401166062,2020,2,2019-11-14
61,Wisconsin,s:40~l:41~t:275,f7f7f7,A00002,Wisconsin Badgers,Badgers,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,Wisconsin,275,WISC,wisconsin-badgers,29-55,52.7,10-28,35.7,15-18,83.3,28,7,21,0,19,10,3,9,0,9,0,0,0,15,26.0,AWAY,2377,McNeese,Cowboys,MCNS,401166065,2020,2,2019-11-14
69,Michigan,s:40~l:41~t:130,00274c,00274c,Michigan Wolverines,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,Michigan,130,MICH,michigan-wolverines,28-58,48.3,7-23,30.4,7-10,70.0,38,7,31,0,12,3,6,10,0,10,0,0,0,7,22.0,AWAY,2210,Elon,Phoenix,ELON,401166069,2020,2,2019-11-16
73,Purdue,s:40~l:41~t:2509,a4a9ad,B89D29,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,Purdue,2509,PUR,purdue-boilermakers,35-70,50.0,11-36,30.6,12-17,70.6,48,23,25,0,24,7,5,8,0,8,1,1,0,10,49.0,AWAY,2130,Chicago State,Cougars,CHIC,401166071,2020,2,2019-11-16
