,team_short_display_name,game_id,starting_lineup,athlete_display_name,min,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,season,season_type,game_date,FGM,FGA,3PM,3PA,FTM,FTA,largest_lead,home_away,opponent_id,opponent_abbrev
0,Auburn,401166273,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Isaac Okoro,34,1,7,8,2,2,0,1,2,14,True,False,False,False,23.0,4432822,I. Okoro,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432822.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-04,5,9,0,1,4,5,14.0,HOME,344,MSST
1,Auburn,401166273,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Danjel Purifoy,29,3,5,8,2,1,0,0,2,11,True,False,False,False,3.0,4066249,D. Purifoy,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066249.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-04,4,10,3,7,0,0,14.0,HOME,344,MSST
2,Auburn,401166273,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Austin Wiley,23,1,4,5,1,1,5,1,2,10,True,False,False,False,50.0,4078506,A. Wiley,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4078506.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-04,4,8,0,0,2,4,14.0,HOME,344,MSST
3,Auburn,401166273,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",J'Von McCormick,31,3,1,4,4,2,0,5,1,28,True,False,False,False,5.0,4395709,J. McCormick,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395709.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-04,9,17,2,6,8,11,14.0,HOME,344,MSST
4,Auburn,401166273,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Samir Doughty,34,1,7,8,0,2,1,2,3,15,True,False,False,False,10.0,3913188,S. Doughty,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3913188.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-04,4,12,0,4,7,8,14.0,HOME,344,MSST
5,Auburn,401166273,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Anfernee McLemore,22,0,2,2,0,0,0,0,4,2,False,False,False,False,24.0,4066253,A. McLemore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066253.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-04,1,5,0,1,0,0,14.0,HOME,344,MSST
6,Auburn,401166273,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Devan Cambridge,6,0,0,0,0,0,0,0,2,0,False,False,False,False,35.0,4592749,D. Cambridge,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592749.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-04,0,0,0,0,0,0,14.0,HOME,344,MSST
7,Auburn,401166273,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Allen Flanigan,12,1,0,1,0,0,0,1,2,0,False,False,False,False,22.0,4432874,A. Flanigan,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432874.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-04,0,2,0,2,0,2,14.0,HOME,344,MSST
8,Auburn,401166273,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Jamal Johnson,9,1,0,1,0,2,0,1,2,0,False,False,False,False,1.0,4278281,J. Johnson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278281.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-04,0,2,0,1,0,0,14.0,HOME,344,MSST
9,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Isaac Okoro,32,3,3,6,3,1,0,2,1,23,True,False,False,False,23.0,4432822,I. Okoro,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432822.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,6,9,1,1,10,14,14.0,AWAY,238,VAN
10,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Danjel Purifoy,30,0,3,3,1,1,0,1,3,12,True,False,False,False,3.0,4066249,D. Purifoy,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066249.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,5,9,0,3,2,2,14.0,AWAY,238,VAN
11,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Austin Wiley,22,3,9,12,0,0,3,1,2,13,True,False,False,False,50.0,4078506,A. Wiley,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4078506.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,2,5,0,0,9,10,14.0,AWAY,238,VAN
12,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",J'Von McCormick,32,0,3,3,2,0,0,1,2,10,True,False,False,False,5.0,4395709,J. McCormick,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395709.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,3,11,0,4,4,6,14.0,AWAY,238,VAN
13,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Samir Doughty,33,1,1,2,2,0,0,0,4,6,True,False,False,False,10.0,3913188,S. Doughty,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3913188.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,1,9,1,5,3,4,14.0,AWAY,238,VAN
14,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Anfernee McLemore,17,1,0,1,0,0,0,0,4,14,False,False,False,False,24.0,4066253,A. McLemore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066253.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,6,8,2,3,0,0,14.0,AWAY,238,VAN
15,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Babatunde Akingbola,1,0,0,0,0,0,0,0,0,0,False,False,False,False,13.0,4431873,B. Akingbola,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431873.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,0,0,0,0,0,0,14.0,AWAY,238,VAN
16,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Devan Cambridge,8,1,3,4,1,0,0,1,1,2,False,False,False,False,35.0,4592749,D. Cambridge,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592749.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,1,3,0,2,0,0,14.0,AWAY,238,VAN
17,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Allen Flanigan,16,1,2,3,0,0,0,1,3,3,False,False,False,False,22.0,4432874,A. Flanigan,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432874.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,1,3,1,2,0,2,14.0,AWAY,238,VAN
18,Auburn,401166282,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Jamal Johnson,9,0,0,0,1,0,1,1,1,0,False,False,False,False,1.0,4278281,J. Johnson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278281.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-09,0,0,0,0,0,0,14.0,AWAY,238,VAN
19,Auburn,401166287,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Isaac Okoro,29,0,0,0,3,0,3,1,4,7,True,False,False,False,23.0,4432822,I. Okoro,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432822.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-11,3,8,1,4,0,0,25.0,AWAY,61,UGA
20,Auburn,401166287,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Danjel Purifoy,22,3,5,8,2,0,0,1,1,7,True,False,False,False,3.0,4066249,D. Purifoy,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066249.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-11,3,7,1,4,0,0,25.0,AWAY,61,UGA
21,Auburn,401166287,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Austin Wiley,16,2,5,7,0,0,1,1,2,8,True,False,False,False,50.0,4078506,A. Wiley,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4078506.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-11,3,4,0,0,2,4,25.0,AWAY,61,UGA
22,Auburn,401166287,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",J'Von McCormick,25,0,2,2,3,0,0,1,3,9,True,False,False,False,5.0,4395709,J. McCormick,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395709.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-11,3,8,1,1,2,3,25.0,AWAY,61,UGA
23,Auburn,401166287,"{'Samir Doughty', 'Danjel Purifoy', 'Austin Wiley', ""J'Von McCormick"", 'Isaac Okoro'}",Samir Doughty,27,1,5,6,4,1,0,3,4,17,True,False,False,False,10.0,3913188,S. Doughty,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3913188.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2020,2,2020-01-11,6,12,2,5,3,7,25.0,AWAY,61,UGA
