,team_short_display_name,game_id,starting_lineup,athlete_display_name,min,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,season,season_type,game_date,FGM,FGA,3PM,3PA,FTM,FTA,largest_lead,home_away,opponent_id,opponent_abbrev
0,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Chuma Okeke,32,2,4,6,2,3,1,1,5,7,True,False,False,False,5.0,4278052,C. Okeke,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278052.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,3,8,1,6,0,0,1.0,HOME,152,NCST
1,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Anfernee McLemore,13,0,0,0,0,0,0,1,1,0,True,False,False,False,24.0,4066253,A. McLemore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066253.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,0,1,0,1,0,1,1.0,HOME,152,NCST
2,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Jared Harper,37,1,3,4,5,0,0,4,3,11,True,False,False,False,1.0,4066248,J. Harper,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066248.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,5,16,1,5,0,0,1.0,HOME,152,NCST
3,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Samir Doughty,20,1,0,1,2,1,0,3,1,7,True,False,False,False,10.0,3913188,S. Doughty,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3913188.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,3,6,1,3,0,0,1.0,HOME,152,NCST
4,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Bryce Brown,26,1,2,3,1,2,0,6,1,3,True,False,False,False,2.0,3908521,B. Brown,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908521.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,1,6,0,4,1,1,1.0,HOME,152,NCST
5,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Danjel Purifoy,8,1,1,2,0,0,0,2,1,0,False,False,False,False,3.0,4066249,D. Purifoy,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066249.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,0,1,0,1,0,0,1.0,HOME,152,NCST
6,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Horace Spencer,7,3,2,5,0,0,0,1,0,4,False,False,False,False,0.0,3908520,H. Spencer,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908520.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,2,3,0,0,0,1,1.0,HOME,152,NCST
7,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Austin Wiley,20,1,5,6,0,1,2,4,2,13,False,False,False,False,50.0,4078506,A. Wiley,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4078506.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,5,6,0,0,3,4,1.0,HOME,152,NCST
8,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",J'Von McCormick,17,2,0,2,3,3,0,1,2,14,False,False,False,False,5.0,4395709,J. McCormick,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395709.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,6,7,0,0,2,4,1.0,HOME,152,NCST
9,Auburn,401082845,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Malik Dunbar,20,1,3,4,0,1,0,1,4,12,False,False,False,False,4.0,4278055,M. Dunbar,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278055.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2018-12-20,5,8,2,5,0,1,1.0,HOME,152,NCST
10,Auburn,401082941,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Chuma Okeke,31,1,5,6,1,3,1,2,1,13,True,False,False,False,5.0,4278052,C. Okeke,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278052.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-16,2,6,1,3,8,10,11.0,HOME,238,VAN
