,team_short_display_name,game_id,starting_lineup,athlete_display_name,min,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,season,season_type,game_date,FGM,FGA,3PM,3PA,FTM,FTA,largest_lead,home_away,opponent_id,opponent_abbrev
0,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",Walker Kessler,29,3,6,9,1,0,11,2,3,16,True,False,False,False,13.0,4433136,W. Kessler,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433136.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,6,8,1,1,3,4,17.0,AWAY,99,LSU
1,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",Jabari Smith,31,1,3,4,1,1,1,4,2,16,True,False,False,False,10.0,4432639,J. Smith,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432639.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,5,12,2,8,4,5,17.0,AWAY,99,LSU
2,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",Allen Flanigan,29,0,6,6,1,3,0,3,2,10,True,False,False,False,22.0,4432874,A. Flanigan,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432874.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,4,8,2,4,0,2,17.0,AWAY,99,LSU
3,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",K.D. Johnson,24,0,3,3,2,4,0,2,3,9,True,False,False,False,0.0,4432363,K.D. Johnson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432363.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,2,4,1,3,4,6,17.0,AWAY,99,LSU
4,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",Zep Jasper,18,1,1,2,2,0,0,2,2,0,True,False,False,False,12.0,4311618,Z. Jasper,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4311618.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,0,3,0,3,0,0,17.0,AWAY,99,LSU
5,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",Chris Moore,8,2,2,4,0,0,0,1,1,2,False,False,False,False,5.0,4433200,C. Moore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433200.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,1,2,0,0,0,0,17.0,AWAY,99,LSU
6,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",Jaylin Williams,11,0,0,0,1,0,0,1,2,0,False,False,False,False,2.0,4431776,J. Williams,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431776.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,0,2,0,0,0,0,17.0,AWAY,99,LSU
7,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",Dylan Cardwell,12,1,0,1,0,0,2,1,1,0,False,False,False,False,44.0,4433174,D. Cardwell,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433174.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,0,1,0,0,0,2,17.0,AWAY,99,LSU
8,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",Lior Berman,9,1,1,2,0,0,0,0,0,2,False,False,False,False,24.0,4592748,L. Berman,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592748.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,1,3,0,1,0,0,17.0,AWAY,99,LSU
9,Auburn,401364842,"{'Walker Kessler', 'Zep Jasper', 'Allen Flanigan', 'K.D. Johnson', 'Jabari Smith'}",Wendell Green Jr.,29,1,5,6,3,2,0,5,4,15,False,False,False,False,1.0,4433198,W. Green Jr.,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433198.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2021-12-30,4,10,1,3,6,7,17.0,AWAY,99,LSU
10,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Walker Kessler,29,1,9,10,0,0,4,2,1,12,True,False,False,False,13.0,4433136,W. Kessler,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433136.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,5,5,0,0,2,2,21.0,HOME,2579,SC
11,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Jabari Smith,23,0,1,1,1,0,0,4,2,10,True,False,False,False,10.0,4432639,J. Smith,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432639.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,3,8,2,3,2,2,21.0,HOME,2579,SC
12,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Devan Cambridge,25,1,4,5,0,2,0,0,1,4,True,False,False,False,35.0,4592749,D. Cambridge,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592749.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,1,4,1,2,1,3,21.0,HOME,2579,SC
13,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",K.D. Johnson,22,1,2,3,1,2,0,3,3,2,True,False,False,False,0.0,4432363,K.D. Johnson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432363.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,1,4,0,0,0,0,21.0,HOME,2579,SC
14,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Zep Jasper,24,0,0,0,3,0,1,2,3,13,True,False,False,False,12.0,4311618,Z. Jasper,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4311618.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,4,5,2,2,3,4,21.0,HOME,2579,SC
15,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Chris Moore,9,3,1,4,0,0,0,2,1,5,False,False,False,False,5.0,4433200,C. Moore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433200.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,2,4,0,0,1,3,21.0,HOME,2579,SC
16,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Jaylin Williams,17,0,2,2,1,0,0,2,1,6,False,False,False,False,2.0,4431776,J. Williams,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431776.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,3,5,0,0,0,0,21.0,HOME,2579,SC
17,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Dylan Cardwell,11,0,0,0,1,3,1,0,2,5,False,False,False,False,44.0,4433174,D. Cardwell,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433174.png,Center,C,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,2,2,0,0,1,2,21.0,HOME,2579,SC
18,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Lior Berman,12,0,0,0,1,0,0,0,1,2,False,False,False,False,24.0,4592748,L. Berman,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592748.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,1,3,0,1,0,0,21.0,HOME,2579,SC
19,Auburn,401364845,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Wendell Green Jr.,28,2,3,5,5,2,0,2,0,22,False,False,False,False,1.0,4433198,W. Green Jr.,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433198.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-04,7,15,1,5,7,7,21.0,HOME,2579,SC
20,Auburn,401364855,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Walker Kessler,24,0,8,8,1,0,3,3,5,6,True,False,False,False,13.0,4433136,W. Kessler,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433136.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-09,2,5,0,1,2,2,13.0,AWAY,57,FLA
21,Auburn,401364855,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Jabari Smith,21,0,5,5,2,0,1,0,4,13,True,False,False,False,10.0,4432639,J. Smith,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432639.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-09,4,7,2,2,3,5,13.0,AWAY,57,FLA
22,Auburn,401364855,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",Devan Cambridge,17,1,1,2,0,0,0,1,0,4,True,False,False,False,35.0,4592749,D. Cambridge,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592749.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-09,2,4,0,0,0,0,13.0,AWAY,57,FLA
23,Auburn,401364855,"{'Walker Kessler', 'Zep Jasper', 'Devan Cambridge', 'K.D. Johnson', 'Jabari Smith'}",K.D. Johnson,28,0,1,1,1,3,0,0,2,23,True,False,False,False,0.0,4432363,K. Johnson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432363.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2022,2,2022-01-09,7,13,3,4,6,8,13.0,AWAY,57,FLA
