,athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date
11,Caleb Furst,Purdue,21,1-2,0-0,0-0,3,4,7,0,1,0,2,2,2,True,False,False,False,3.0,4433598,C. Furst,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433598.png,Forward,F,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
12,Zach Edey,Purdue,17,2-4,0-0,2-3,2,5,7,0,1,1,3,3,6,True,False,False,False,15.0,4600663,Z. Edey,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4600663.png,Center,C,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
13,Jaden Ivey,Purdue,29,7-13,1-5,4-7,0,2,2,2,2,0,1,3,19,True,False,False,False,23.0,4433218,J. Ivey,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433218.png,Guard,G,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
14,Isaiah Thompson,Purdue,16,0-0,0-0,5-6,1,0,1,1,0,0,1,0,5,True,False,False,False,11.0,4431749,I. Thompson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431749.png,Guard,G,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
15,Sasha Stefanovic,Purdue,29,2-6,1-3,3-3,0,1,1,2,0,0,1,3,8,True,False,False,False,55.0,4277985,S. Stefanovic,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277985.png,Guard,G,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
16,Mason Gillis,Purdue,18,2-3,2-2,6-6,1,2,3,1,0,1,1,3,12,False,False,False,False,0.0,4431753,M. Gillis,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431753.png,Forward,F,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
17,Trevion Williams,Purdue,24,4-12,1-1,4-8,1,17,18,3,1,0,2,2,13,False,False,False,False,50.0,4397246,T. Williams,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397246.png,Forward,F,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
18,Brandon Newman,Purdue,13,1-4,1-4,2-2,0,0,0,1,0,0,0,1,5,False,False,False,False,5.0,4592726,B. Newman,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4592726.png,Guard,G,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
19,Ethan Morton,Purdue,9,1-2,1-1,0-0,0,0,0,2,0,0,0,0,3,False,False,False,False,25.0,4433151,E. Morton,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433151.png,Guard,G,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
20,Eric Hunter Jr.,Purdue,24,1-4,1-3,1-2,0,1,1,2,0,0,4,1,4,False,False,False,False,2.0,4397243,E. Hunter Jr.,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397243.png,Guard,G,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401364342,2022,2,2021-12-04
123,Caleb Houstan,Michigan,27,6-9,4-7,0-0,0,6,6,3,2,0,3,2,16,True,False,False,False,22.0,4433623,C. Houstan,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4433623.png,Forward,F,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401364348,2022,2,2021-12-08
124,Brandon Johns Jr.,Michigan,21,6-9,2-3,6-7,1,4,5,0,1,0,2,3,20,True,False,False,False,23.0,4397206,B. Johns Jr.,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397206.png,Forward,F,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401364348,2022,2,2021-12-08
125,Hunter Dickinson,Michigan,29,7-14,1-3,0-0,6,6,12,3,0,1,2,2,15,True,False,False,False,1.0,4432180,H. Dickinson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432180.png,Center,C,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401364348,2022,2,2021-12-08
126,DeVante' Jones,Michigan,25,1-5,1-3,0-0,2,3,5,8,3,1,0,2,3,True,False,False,False,12.0,4397506,D. Jones,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397506.png,Guard,G,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401364348,2022,2,2021-12-08
127,Eli Brooks,Michigan,28,3-10,2-8,2-2,1,2,3,2,0,0,0,1,10,True,False,False,False,55.0,4277960,E. Brooks,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277960.png,Guard,G,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401364348,2022,2,2021-12-08
