,athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date
3205,Day'Ron Sharpe,North Carolina,22,4-8,0-0,5-6,5,5,10,2,2,1,0,3,13,False,False,False,False,11.0,4432194,D. Sharpe,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432194.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3206,Ryan McAdoo,North Carolina,1,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,35.0,4278388,R. McAdoo,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278388.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3207,Walker Miller,North Carolina,2,1-2,0-0,0-0,0,0,0,0,0,0,0,1,2,False,False,False,False,22.0,4277910,W. Miller,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277910.png,Forward,F,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3208,Creighton Lebo,North Carolina,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,False,False,False,False,25.0,4701847,C. Lebo,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701847.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3209,Puff Johnson,North Carolina,3,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,False,False,False,False,14.0,4701846,P. Johnson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4701846.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3210,Kerwin Walton,North Carolina,11,0-3,0-1,0-0,0,2,2,2,0,0,0,0,0,False,False,False,False,24.0,4567079,K. Walton,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4567079.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3211,K.J. Smith,North Carolina,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,30.0,4277911,K.J. Smith,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277911.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
3212,Andrew Platek,North Carolina,21,2-9,1-5,0-0,1,2,3,1,4,2,0,2,5,False,False,False,False,3.0,4277906,A. Platek,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277906.png,Guard,G,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,153,UNC,99bfe5,401252794,2021,2,2020-11-25
8606,Anton Watson,Gonzaga,21,2-4,0-2,4-5,2,2,4,3,0,2,3,1,8,True,False,False,False,22.0,4431705,A. Watson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431705.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8607,Drew Timme,Gonzaga,31,4-10,1-1,1-1,2,9,11,2,1,1,1,2,10,True,False,False,False,2.0,4431695,D. Timme,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431695.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8608,Corey Kispert,Gonzaga,35,9-11,1-3,7-8,0,3,3,3,0,0,3,1,26,True,False,False,False,24.0,4280151,C. Kispert,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4280151.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8609,Jalen Suggs,Gonzaga,22,3-7,0-2,1-1,0,3,3,2,1,0,2,5,7,True,False,False,False,1.0,4432165,J. Suggs,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432165.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8610,Joel Ayayi,Gonzaga,33,6-8,1-2,3-5,2,8,10,1,1,1,1,1,16,True,False,False,False,11.0,4280150,J. Ayayi,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4280150.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8611,Pavel Zakharov,Gonzaga,3,0-0,0-0,0-0,0,1,1,0,0,0,1,1,0,False,False,False,False,10.0,4431731,P. Zakharov,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431731.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8612,Oumar Ballo,Gonzaga,6,0-0,0-0,0-0,1,0,1,0,0,0,2,1,0,False,False,False,False,21.0,4594109,O. Ballo,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4594109.png,Center,C,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8613,Dominick Harris,Gonzaga,10,0-4,0-1,1-2,0,0,0,0,0,0,0,0,1,False,False,False,False,55.0,4432198,D. Harris,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432198.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8614,Julian Strawther,Gonzaga,6,1-3,0-0,1-2,1,1,2,0,0,0,1,0,3,False,False,False,False,0.0,4432181,J. Strawther,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432181.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8615,Martynas Arlauskas,Gonzaga,4,0-0,0-0,0-0,2,0,2,0,0,0,0,0,0,False,False,False,False,5.0,4431887,M. Arlauskas,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431887.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8616,Andrew Nembhard,Gonzaga,29,5-10,2-4,2-2,0,3,3,4,1,0,1,1,14,False,False,False,False,3.0,4395712,A. Nembhard,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395712.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253710,2021,2,2021-01-03
8617,Anton Watson,Gonzaga,24,8-9,1-1,6-7,1,2,3,0,0,1,1,3,23,True,False,False,False,22.0,4431705,A. Watson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431705.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8618,Drew Timme,Gonzaga,27,10-14,0-0,6-6,3,4,7,2,0,1,1,0,26,True,False,False,False,2.0,4431695,D. Timme,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431695.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8619,Corey Kispert,Gonzaga,28,6-14,2-7,0-0,2,4,6,4,0,0,0,0,14,True,False,False,False,24.0,4280151,C. Kispert,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4280151.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8620,Jalen Suggs,Gonzaga,22,3-5,0-2,5-7,0,2,2,3,3,0,2,4,11,True,False,False,False,1.0,4432165,J. Suggs,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432165.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8621,Joel Ayayi,Gonzaga,28,5-7,0-1,2-2,2,11,13,14,0,0,0,1,12,True,False,False,False,11.0,4280150,J. Ayayi,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4280150.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8622,Ben Gregg,Gonzaga,4,1-2,0-1,0-0,1,1,2,0,0,0,0,0,2,False,False,False,False,33.0,4711313,B. Gregg,,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8623,Oumar Ballo,Gonzaga,11,3-5,0-0,0-1,2,1,3,0,0,2,2,1,6,False,False,False,False,21.0,4594109,O. Ballo,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4594109.png,Center,C,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8624,Will Graves,Gonzaga,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,35.0,4597889,W. Graves,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4597889.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8625,Dominick Harris,Gonzaga,8,0-1,0-0,0-0,0,0,0,0,0,0,0,2,0,False,False,False,False,55.0,4432198,D. Harris,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432198.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8626,Julian Strawther,Gonzaga,8,4-6,1-2,3-3,2,1,3,0,0,1,0,2,12,False,False,False,False,0.0,4432181,J. Strawther,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432181.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8627,Martynas Arlauskas,Gonzaga,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,5.0,4431887,M. Arlauskas,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431887.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8628,Andrew Nembhard,Gonzaga,25,4-5,0-1,2-2,0,1,1,5,1,0,0,1,10,False,False,False,False,3.0,4395712,A. Nembhard,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395712.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8629,Aaron Cook,Gonzaga,11,0-1,0-1,0-1,0,1,1,1,1,0,2,2,0,False,False,False,False,4.0,4067063,A. Cook,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4067063.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253719,2021,2,2021-01-10
8670,Anton Watson,Gonzaga,28,3-3,0-0,0-0,2,8,10,1,2,0,2,3,6,True,False,False,False,22.0,4431705,A. Watson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431705.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8671,Drew Timme,Gonzaga,36,8-16,0-1,4-8,4,3,7,4,1,1,2,2,20,True,False,False,False,2.0,4431695,D. Timme,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431695.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8672,Corey Kispert,Gonzaga,36,7-13,6-11,3-3,0,8,8,1,1,0,2,1,23,True,False,False,False,24.0,4280151,C. Kispert,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4280151.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8673,Jalen Suggs,Gonzaga,25,8-13,1-4,1-1,0,3,3,3,2,0,4,3,18,True,False,False,False,1.0,4432165,J. Suggs,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432165.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8674,Joel Ayayi,Gonzaga,27,5-7,2-3,7-10,3,3,6,2,4,0,0,4,19,True,False,False,False,11.0,4280150,J. Ayayi,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4280150.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8675,Ben Gregg,Gonzaga,2,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0,False,False,False,False,33.0,4711313,B. Gregg,,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8676,Oumar Ballo,Gonzaga,3,0-1,0-0,0-0,1,1,2,0,0,0,0,1,0,False,False,False,False,21.0,4594109,O. Ballo,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4594109.png,Center,C,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8677,Dominick Harris,Gonzaga,4,1-3,0-1,1-2,1,0,1,0,0,0,0,1,3,False,False,False,False,55.0,4432198,D. Harris,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432198.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8678,Julian Strawther,Gonzaga,2,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0,False,False,False,False,0.0,4432181,J. Strawther,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432181.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8679,Andrew Nembhard,Gonzaga,23,1-3,0-1,2-3,0,2,2,4,1,0,3,4,4,False,False,False,False,3.0,4395712,A. Nembhard,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395712.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8680,Aaron Cook,Gonzaga,13,1-3,0-2,0-0,0,2,2,3,0,0,4,1,2,False,False,False,False,4.0,4067063,A. Cook,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4067063.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253723,2021,2,2021-01-15
8784,Anton Watson,Gonzaga,22,0-0,0-0,0-0,0,0,0,0,2,0,1,2,0,True,False,False,False,22.0,4431705,A. Watson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431705.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253731,2021,2,2021-01-17
8785,Drew Timme,Gonzaga,33,5-6,0-0,4-5,0,8,8,0,0,3,1,2,14,True,False,False,False,2.0,4431695,D. Timme,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4431695.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253731,2021,2,2021-01-17
8786,Corey Kispert,Gonzaga,39,5-11,3-6,4-4,0,5,5,1,1,0,0,0,17,True,False,False,False,24.0,4280151,C. Kispert,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4280151.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253731,2021,2,2021-01-17
8787,Jalen Suggs,Gonzaga,26,5-12,0-3,4-4,1,2,3,2,1,1,5,3,14,True,False,False,False,1.0,4432165,J. Suggs,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432165.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253731,2021,2,2021-01-17
8788,Joel Ayayi,Gonzaga,36,8-13,0-0,0-0,0,5,5,1,1,0,1,2,16,True,False,False,False,11.0,4280150,J. Ayayi,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4280150.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253731,2021,2,2021-01-17
8789,Ben Gregg,Gonzaga,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,33.0,4711313,B. Gregg,,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253731,2021,2,2021-01-17
8790,Oumar Ballo,Gonzaga,4,0-1,0-0,0-0,0,1,1,0,0,1,0,0,0,False,False,False,False,21.0,4594109,O. Ballo,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4594109.png,Center,C,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253731,2021,2,2021-01-17
8791,Will Graves,Gonzaga,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,35.0,4597889,W. Graves,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4597889.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253731,2021,2,2021-01-17
8792,Dominick Harris,Gonzaga,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,False,False,False,False,55.0,4432198,D. Harris,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4432198.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401253731,2021,2,2021-01-17
