,athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date
9,Isaiah Livers,Michigan,31,6-11,2-5,0-0,1,1,2,1,1,0,5,4,14,True,False,False,False,2.0,4277957,I. Livers,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277957.png,Forward,F,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401166015,2020,2,2019-11-06
10,Jon Teske,Michigan,32,7-12,1-3,2-3,4,9,13,1,0,3,1,2,17,True,False,False,False,15.0,4066378,J. Teske,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066378.png,Center,C,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401166015,2020,2,2019-11-06
11,Adrien Nunez,Michigan,13,2-3,1-2,0-0,0,0,0,0,0,0,1,4,5,True,False,False,False,0.0,4397203,A. Nunez,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397203.png,Guard,G,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401166015,2020,2,2019-11-06
12,Eli Brooks,Michigan,37,7-15,5-11,5-6,0,2,2,3,1,1,2,1,24,True,False,False,False,55.0,4277960,E. Brooks,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277960.png,Guard,G,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401166015,2020,2,2019-11-06
13,Zavier Simpson,Michigan,28,2-8,0-2,2-3,2,6,8,6,3,0,6,3,6,True,False,False,False,3.0,4066377,Z. Simpson,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066377.png,Guard,G,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401166015,2020,2,2019-11-06
14,Brandon Johns Jr.,Michigan,19,2-4,0-1,1-3,3,0,3,1,1,2,1,1,5,False,False,False,False,23.0,4397206,B. Johns Jr.,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397206.png,Forward,F,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401166015,2020,2,2019-11-06
15,Colin Castleton,Michigan,12,3-5,0-0,2-2,1,1,2,0,1,0,1,1,8,False,False,False,False,12.0,4397204,C. Castleton,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397204.png,Forward,F,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401166015,2020,2,2019-11-06
16,David DeJulius,Michigan,28,0-3,0-1,0-2,0,2,2,3,1,0,0,2,0,False,False,False,False,0.0,4397202,D. DeJulius,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397202.png,Guard,G,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401166015,2020,2,2019-11-06
181,Aaron Wheeler,Purdue,30,4-8,2-5,0-0,1,8,9,2,2,0,2,2,10,True,False,False,False,1.0,4277982,A. Wheeler,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4277982.png,Forward,F,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401166023,2020,2,2019-11-07
182,Matt Haarms,Purdue,28,5-6,2-2,4-5,4,3,7,3,0,7,1,1,16,True,False,False,False,3.0,4080105,M. Haarms,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4080105.png,Forward,F,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,2509,PUR,B89D29,401166023,2020,2,2019-11-07
