,athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date
41,Corey Kispert,Gonzaga,32,2-6,1-5,2-2,2,3,5,0,0,0,2,4,7,True,False,False,False,24.0,4280151,C. Kispert,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4280151.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401082335,2019,2,2018-11-20
42,Rui Hachimura,Gonzaga,35,7-14,2-3,7-9,0,5,5,0,0,0,4,2,23,True,False,False,False,21.0,4066648,R. Hachimura,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066648.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401082335,2019,2,2018-11-20
43,Brandon Clarke,Gonzaga,24,4-4,0-0,2-6,2,0,2,2,1,5,1,2,10,True,False,False,False,15.0,3906665,B. Clarke,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3906665.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401082335,2019,2,2018-11-20
44,Zach Norvell Jr.,Gonzaga,28,5-11,2-6,3-5,1,5,6,3,0,0,2,3,15,True,False,False,False,23.0,4066649,Z. Norvell Jr.,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066649.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401082335,2019,2,2018-11-20
45,Josh Perkins,Gonzaga,36,3-5,1-2,3-4,1,3,4,9,2,0,7,4,10,True,False,False,False,13.0,3155941,J. Perkins,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3155941.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401082335,2019,2,2018-11-20
46,Filip Petrusev,Gonzaga,15,1-4,0-1,3-5,2,4,6,0,0,0,0,2,5,False,False,False,False,3.0,4397667,F. Petrusev,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397667.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401082335,2019,2,2018-11-20
47,Jeremy Jones,Gonzaga,17,5-5,1-1,3-4,2,9,11,0,0,0,0,2,14,False,False,False,False,22.0,3947137,J. Jones,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3947137.png,Forward,F,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401082335,2019,2,2018-11-20
48,Greg Foster Jr.,Gonzaga,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,False,False,False,False,5.0,4397664,G. Foster Jr.,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397664.png,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401082335,2019,2,2018-11-20
49,Geno Crandall,Gonzaga,13,0-2,0-1,0-0,0,2,2,2,2,0,5,3,0,False,False,False,False,0.0,3153373,G. Crandall,,Guard,G,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,2250,GONZ,002967,401082335,2019,2,2018-11-20
269,Ignas Brazdeikis,Michigan,31,5-11,1-2,4-5,2,6,8,1,1,1,3,2,15,True,False,False,False,13.0,4397205,I. Brazdeikis,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4397205.png,Forward,F,Wolverines,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,130,MICH,00274c,401082346,2019,2,2019-01-11
