,team_short_display_name,game_id,starting_lineup,athlete_display_name,min,oreb,dreb,reb,ast,stl,blk,to,pf,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,season,season_type,game_date,FGM,FGA,3PM,3PA,FTM,FTA,largest_lead,home_away,opponent_id,opponent_abbrev,points_per_min,prev_player_ppg,prev_player_points_per_min,game_total_points,game_number,Cleaned_position_bigs_guards,cum_average_opp_points_to_role,cum_average_opp_min_allowed_to_role,prev_3_games_opp_min_allowed_to_role,prev_3_games__opp_points_allowed_to_role,total_pts_allowed,prev_total_opp_ppg,Home,Starter_numeric,prev_avg_pts_to_role_pos,prev_avg_min_to_role_position,Big_man,Guard
10,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Anfernee McLemore,17,0,1,1,0,0,1,0,5,2,True,False,False,False,24.0,4066253,A. McLemore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066253.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,0,3,0,2,2,4,3.0,AWAY,96,UK,0.11764705882352941,6.77,0.328,80,14,Big_man,77.5,27.5,,,80,95.0,0,1,39.25,25.188,1,0
11,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Jared Harper,34,0,0,0,6,1,0,3,2,17,True,False,False,False,1.0,4066248,J. Harper,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066248.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,5,13,2,6,5,7,3.0,AWAY,96,UK,0.5,14.62,0.431,80,14,Guard,77.5,27.5,,,80,95.0,0,1,30.0,31.75,0,1
12,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Samir Doughty,24,0,1,1,3,0,0,0,1,5,True,False,False,False,10.0,3913188,S. Doughty,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3913188.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,1,4,1,3,2,2,3.0,AWAY,96,UK,0.20833333333333334,6.23,0.268,80,14,Guard,77.5,27.5,,,80,95.0,0,1,30.0,31.75,0,1
13,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Bryce Brown,32,0,0,0,3,1,0,3,1,28,True,False,False,False,2.0,3908521,B. Brown,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908521.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,8,9,6,7,6,6,3.0,AWAY,96,UK,0.875,15.08,0.468,80,14,Guard,77.5,27.5,,,80,95.0,0,1,30.0,31.75,0,1
14,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Danjel Purifoy,8,0,0,0,0,0,0,0,2,3,False,False,False,False,3.0,4066249,D. Purifoy,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066249.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,1,4,1,3,0,0,3.0,AWAY,96,UK,0.375,3.0,0.299,80,14,Big_man,17.5,8.106,,,80,95.0,0,0,5.5,8.25,1,0
15,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Horace Spencer,23,2,6,8,2,1,2,4,5,4,False,False,False,False,0.0,3908520,H. Spencer,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/3908520.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,2,3,0,0,0,1,3.0,AWAY,96,UK,0.17391304347826086,4.08,0.301,80,14,Big_man,17.5,8.106,,,80,95.0,0,0,5.5,8.25,1,0
16,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",J'Von McCormick,8,1,0,1,1,0,0,1,2,0,False,False,False,False,5.0,4395709,J. McCormick,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4395709.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,0,2,0,0,0,0,3.0,AWAY,96,UK,0.0,3.77,0.286,80,14,Guard,17.5,8.106,,,80,95.0,0,0,7.75,10.868,0,1
17,Auburn,401083134,"{'Bryce Brown', 'Samir Doughty', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Malik Dunbar,22,2,5,7,0,1,0,0,4,10,False,False,False,False,4.0,4278055,M. Dunbar,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278055.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-01-19,4,7,2,4,0,0,3.0,AWAY,96,UK,0.45454545454545453,6.46,0.353,80,14,Guard,17.5,8.106,,,80,95.0,0,0,7.75,10.868,0,1
18,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Chuma Okeke,30,2,1,3,1,0,0,1,3,14,True,False,False,False,5.0,4278052,C. Okeke,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278052.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,6,13,2,5,0,0,2.0,HOME,96,UK,0.4666666666666667,13.14,0.42,53,15,Big_man,66.8,29.44,30.733,59.667,53,80.4,1,1,31.667,27.375,1,0
19,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Anfernee McLemore,23,1,7,8,1,0,0,1,1,10,True,False,False,False,24.0,4066253,A. McLemore,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066253.png,Forward,F,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,4,9,2,5,0,0,2.0,HOME,96,UK,0.43478260869565216,6.43,0.313,53,15,Big_man,66.8,29.44,30.733,59.667,53,80.4,1,1,31.667,27.375,1,0
20,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Malik Dunbar,20,1,3,4,0,1,0,1,1,0,True,False,False,False,4.0,4278055,M. Dunbar,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4278055.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,0,6,0,5,0,2,2.0,HOME,96,UK,0.0,6.71,0.361,53,15,Guard,66.8,29.44,30.733,59.667,53,80.4,1,1,34.333,31.542,0,1
21,Auburn,401083137,"{'Bryce Brown', 'Malik Dunbar', 'Jared Harper', 'Anfernee McLemore', 'Chuma Okeke'}",Jared Harper,32,0,1,1,0,1,0,3,1,12,True,False,False,False,1.0,4066248,J. Harper,https://a.espncdn.com/i/headshots/mens-college-basketball/players/full/4066248.png,Guard,G,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,2,AUB,03244d,2019,2,2019-02-23,3,11,2,5,4,6,2.0,HOME,96,UK,0.375,14.79,0.436,53,15,Guard,66.8,29.44,30.733,59.667,53,80.4,1,1,34.333,31.542,0,1
