team_id,team_name,pace_rating,pace_rank,ESPN_conference_id,conference_name,kenpom_name,Tempo,AdjTempo,RankTempo,RankAdjTempo
2305,Kansas,8.73328692538317,116,8,Big 12,Kansas,69.5448,69.2864,94,65
2567,SMU,8.72466751860221,117,62,AAC,SMU,69.4473,68.3597,97,107
2230,Fordham,8.710429891346035,118,3,A10,Fordham,68.6289,67.6482,141,139
2634,Tennessee State,8.705584419794265,119,20,OVC,Tennessee St.,69.0818,67.5446,113,146
2717,W Carolina,8.696968539886505,120,24,Southern,Western Carolina,69.0232,68.2021,117,112
325,Cleveland State,8.677781689084497,121,45,Horizon,Cleveland St.,68.5652,67.7971,148,127
96,Kentucky,8.676534234472525,122,23,SEC,Kentucky,69.2574,67.4665,105,150
2737,Winthrop,8.672512724949996,123,6,Big South,Winthrop,68.8324,68.319,131,109
2363,Manhattan,8.665889659841916,124,13,MAAC,Manhattan,69.2219,68.615,108,97
61,Georgia,8.663457050083398,125,23,SEC,Georgia,69.8156,68.6062,85,99
2029,AR-Pine Bluff,8.65472886962972,126,26,SWAC,Arkansas Pine Bluff,68.9177,67.0841,125,185
2529,Sacred Heart,8.643908281497902,127,19,Northeast,Sacred Heart,68.5858,67.3914,146,161
155,North Dakota,8.637365907032411,128,49,Summit League,North Dakota,69.0561,67.3603,115,164
2908,SC Upstate,8.633993458630442,129,6,Big South,USC Upstate,69.3603,68.6092,99,98
139,Saint Louis,8.62926349803652,130,3,A10,Saint Louis,68.7903,67.9054,134,124
2010,Alabama A&M,8.61855734029797,131,26,SWAC,Alabama A&M,68.3935,66.5795,162,212
2427,UNC Asheville,8.617833601296672,132,6,Big South,UNC Asheville,67.9223,66.7673,181,199
151,East Carolina,8.617086133575016,133,62,AAC,East Carolina,68.8117,67.6524,133,138
245,Texas A&M,8.61552303676986,134,23,SEC,Texas A&M,68.4745,66.7308,157,202
219,Pennsylvania,8.61094447076091,135,12,Ivy League,Penn,69.0415,67.6356,116,140
2598,St Francis PA,8.600036892408859,136,19,Northeast,St. Francis PA,68.319,67.3389,164,166
252,BYU,8.598251479405095,137,29,WCC,BYU,69.3546,68.0135,100,118
242,Rice,8.575049798313955,138,11,Conference USA,Rice,68.1495,67.5096,170,148
193,Miami (OH),8.573708125923192,139,14,MAC,Miami OH,68.8827,67.732,127,132
225,Brown,8.568910297026113,140,12,Ivy League,Brown,69.1139,67.3481,112,165
59,Georgia Tech,8.566401432750489,141,2,ACC,Georgia Tech,68.5539,68.0301,149,117
2393,MTSU,8.554617219315674,142,11,Conference USA,Middle Tennessee,67.9363,67.0761,180,186
2261,Hampton,8.550129477990554,143,6,Big South,Hampton,68.9772,69.1405,120,73
9,Arizona State,8.539513605404927,144,21,PAC-12,Arizona St.,68.0421,67.3051,175,168
2272,High Point,8.539088107541522,145,6,Big South,High Point,67.1119,66.4862,237,216
163,Princeton,8.533976218500522,146,12,Ivy League,Princeton,68.7189,66.8858,136,195
2247,Georgia State,8.52495141280455,147,27,Sun Belt,Georgia St.,68.0766,67.2997,173,169
279,Pacific,8.514348164475342,148,29,WCC,Pacific,69.2755,68.1609,103,115
2016,Alcorn State,8.509956570596815,149,26,SWAC,Alcorn St.,68.9565,67.796,123,128
152,NC State,8.508051631827332,150,2,ACC,N.C. State,67.8719,66.9481,188,192
2032,Arkansas State,8.505308760564242,151,27,Sun Belt,Arkansas St.,68.8801,68.2648,128,110
338,Kennesaw State,8.504119325860907,152,46,ASUN,Kennesaw St.,67.3204,66.1885,222,232
2083,Bucknell,8.503456570243484,153,22,Patriot League,Bucknell,68.2197,67.6765,169,136
2653,Troy,8.482100205666647,154,27,Sun Belt,Troy,67.6107,66.9787,201,190
2514,Quinnipiac,8.482075542455384,155,13,MAAC,Quinnipiac,68.9796,68.8024,119,90
2856,CA Baptist,8.463348353134549,156,30,WAC,Cal Baptist,68.7164,67.4231,137,156
238,Vanderbilt,8.435092922140731,157,23,SEC,Vanderbilt,68.9498,67.7634,124,130
52,Florida State,8.42874879658826,158,2,ACC,Florida St.,68.6182,67.782,142,129
2603,Saint Joseph's,8.419901336747179,159,3,A10,Saint Joseph's,68.5121,67.9719,154,121
2172,Denver,8.415857029382249,160,49,Summit League,Denver,67.9128,66.3702,184,222
3084,Utah Valley,8.41024649477724,161,30,WAC,Utah Valley,67.4635,65.8347,210,250
2117,C Michigan,8.4078409697076,162,14,MAC,Central Michigan,68.8164,67.4921,132,149
2633,Tennessee,8.40198241551729,163,23,SEC,Tennessee,68.6654,67.4173,140,157
2473,Oakland,8.39064812149057,164,45,Horizon,Oakland,68.6751,67.4126,139,158
56,Stetson,8.383453454098238,165,46,ASUN,Stetson,66.633,65.7118,260,255
239,Baylor,8.382352250760064,166,8,Big 12,Baylor,68.6022,67.3834,144,163
2325,La Salle,8.376291388086768,167,3,A10,La Salle,68.2243,67.237,168,173
204,Oregon State,8.363126582453335,168,21,PAC-12,Oregon St.,67.8083,66.6133,190,210
2349,UMass Lowell,8.362003957699395,169,1,American East,UMass Lowell,67.5685,67.4587,203,151
2378,UMBC,8.356730403391191,170,1,American East,UMBC,68.4703,68.3315,158,108
250,UT Arlington,8.339762543919742,171,27,Sun Belt,UT Arlington,65.9911,65.153,283,281
2619,Stony Brook,8.334737842696724,172,1,American East,Stony Brook,68.4035,68.2192,161,111
